"LICENCE_NO","PREMISE_NAME","PREMISE_ADDRESS","CATEGORY","SUB_CATEGORY","CURRENCY","LAST_UPDATED","EASTING","NORTHING","LONGITUDE","LATITUDE"
"80780","T-Bone Brewing Co.","308 Elizabeth Street, NORTH HOBART, 7000","General","Tavern","2016/09/23","Wednesday 08 May 2019",525975,5252891,147.31804077027,-42.8761349951269
"80844","Middleton General Store","4409 Channel Highway, MIDDLETON, 7163","Special","Other","2016/09/26","Wednesday 08 May 2019",520549,5213313,147.253066161795,-43.2326968757241
"80853","Kosaten","Unit 15, 13-17 Castray Esplanade, BATTERY POINT, 7004","Special","Restaurant","2016/08/22","Wednesday 08 May 2019",527472,5251723,147.336427045228,-42.8866005953976
"80854","Port Cygnet Diner","Shop 2, 16 Mary Street, CYGNET, 7112","Special","Restaurant","2016/08/15","Wednesday 08 May 2019",506294,5221206,147.077422635445,-43.1618758675047
"80863","Queenstown Crows Football Club","Wilsdon Street, QUEENSTOWN, 7467","Club",NA,"2017/02/07","Wednesday 08 May 2019",380772,5340755,145.558648920464,-42.0762292864234
"80865","Pop Cafe","178 Collins Street, HOBART, 7000","On-Restaurant",NA,"2016/08/10","Wednesday 08 May 2019",526621,5251946,147.325995139704,-42.8846226014774
"80886","Lark Distillery (Cambridge)","40 Denholms Road, CAMBRIDGE, 7170","Special","Other","2016/08/19","Wednesday 08 May 2019",535305,5260361,147.431806855065,-42.8084927039699
"80917","Rhyme St Cafe @ Eastlands","Shop U040 Eastlands Shopping Centre, 26 Bligh Street, ROSNY, 7018","Special","Restaurant","2016/11/01","Wednesday 08 May 2019",530077,5253925,147.368209813107,-42.8666731817725
"80941","Marquis Hotel Bistro","209 Brisbane Street, WEST HOBART, 7000","Special","Restaurant","2016/09/13","Wednesday 08 May 2019",525828,5251944,147.316284468039,-42.8846678502334
"80942","Cellarbrations at Kingston","25 Westside Circle, KINGSTON, 7050","Off",NA,"2016/11/28","Wednesday 08 May 2019",524696,5241785,147.302870324691,-42.9761878589046
"80953","Timbre Kitchen","755 West Tamar Highway, LEGANA, 7277","Special","Other","2016/08/26","Wednesday 08 May 2019",504068,5420145,147.04864328962,-41.370197839253
"80965","Killara Distillery","40 Negara Crescent, GOODWOOD, 7010","Special","Other","2017/12/04","Wednesday 08 May 2019",524254,5258615,147.296722101476,-42.8246457927319
"80967","Topeka Winery","9900 Tasman Highway, LITTLE SWANPORT, 7190","Special","Wine Producer - Grape","2017/04/10","Wednesday 08 May 2019",577580,5307051,147.942454891785,-42.3849557687461
"80973","Veterans Memorial Centre","Coronation Hall, 25 Old Main Road, BRIDGEWATER, 7030","On",NA,"2016/10/07","Wednesday 08 May 2019",518624,5268418,147.22752214338,-42.7365239580147
"80983","Tas-Saff","155 Dillons Hill Road, GLAZIERS BAY, 7109","Special","Other","2017/02/16","Wednesday 08 May 2019",501746,5223889,147.021469136412,-43.1377400248139
"80985","Tandy's Alehouse","100-102 Elizabeth Street, LAUNCESTON, 7250","General","Hotel","2016/10/24","Wednesday 08 May 2019",511557,5412333,147.138342341029,-41.4404923356418
"80991","Glenorchy District Football Club","1A Anfield Street, GLENORCHY, 7010","General","Tavern","2016/12/01","Wednesday 08 May 2019",522570,5257902,147.276148959932,-42.8311180735268
"81073","Dier Makr","Ground Floor, 121-123 Collins Street, HOBART, 7000","General","Tavern","2016/11/14","Wednesday 08 May 2019",526661,5252036,147.326480689807,-42.8838107442809
"81087","Shiny Wine","16 Erina Street, EAST LAUNCESTON, 7250","Special","Online / Internet","2016/09/27","Wednesday 08 May 2019",512805,5412820,147.153271076898,-41.4360867397949
"81089","Clarence Recreational Sporting Facility","Upper level, 20 Kangaroo Bay Drive, ROSNY PARK, 7018","On",NA,"2016/11/21","Wednesday 08 May 2019",529947,5253595,147.366635941041,-42.8696499764624
"81178","Joseph Burton Wines","Unit J/5 Sussex Street, GLENORCHY, 7010","Special","Wholesaler","2017/10/04","Wednesday 08 May 2019",521532,5257691,147.263457004121,-42.8330481075578
"81222","The Farm Shed Wine Centre","Lot 201 / 53 Burgess Street, BICHENO, 7215","General","Tavern","2016/12/01","Wednesday 08 May 2019",608208,5363144,148.304045302067,-41.876226427175
"81235","Southern Wild Distillery","17 Fenton Way, DEVONPORT, 7310","On",NA,"2016/10/28","Wednesday 08 May 2019",446186,5441309,146.358405331164,-41.1777798610899
"81269","Sheffield Bowls Club","77 Main Street, SHEFFIELD, 7306","Club",NA,"2016/10/07","Wednesday 08 May 2019",443687,5418624,146.326515702305,-41.3819378898709
"81287","Burnie Harness Racing Club","1-7 Pearl Street, WIVENHOE, 7320","On",NA,"2016/11/21","Wednesday 08 May 2019",410087,5453009,145.929787857004,-41.0692029119496
"81288","Mowbray Cricket Club","2 Invermay Road, INVERMAY, 7248","Club",NA,"2016/12/07","Wednesday 08 May 2019",511551,5414169,147.138235430313,-41.4239545886653
"81295","Hillwood Football Club","280 Hillwood Jetty Road, HILLWOOD, 7252","Club",NA,"2016/12/07","Wednesday 08 May 2019",497909,5435014,146.975047879123,-41.2362689831085
"81317","Annapurna Bellerive Indian Restaurant","54A Cambridge Road, BELLERIVE, 7018","Special","Restaurant","2016/11/03","Wednesday 08 May 2019",530054,5253052,147.367974945165,-42.8745355470173
"81338","Rockin' Hot Pizza","Shop 8, Quadrant Plaza, 94 York Street, LAUNCESTON, 7250","On-Restaurant",NA,"2016/11/24","Wednesday 08 May 2019",511746,5412658,147.140598428958,-41.4375621479166
"81347","Yacht Club Fifty Five","7 Park Street, LAUNCESTON, 7250","General","Tavern","2016/10/21","Wednesday 08 May 2019",511014,5412581,147.13183788975,-41.4382661018165
"81359","Rude Boy","130 Elizabeth Street, HOBART, 7000","General","Tavern","2016/12/01","Wednesday 08 May 2019",526421,5252450,147.323522305322,-42.8800909620644
"81371","Born in Brunswick","410 Elizabeth Street, NORTH HOBART, 7000","On",NA,"2017/10/27","Wednesday 08 May 2019",525698,5253281,147.31463136046,-42.8726323565164
"81373","Driftwood Restaurant","13 North Terrace, LAUDERDALE, 7021","On-Restaurant",NA,"2016/12/08","Wednesday 08 May 2019",540248,5248921,147.493080486404,-42.9112657309899
"81397","Bay of Fires Bush Retreat","795 Reids Road, BINALONG BAY, 7216","Special","Other","2016/10/28","Wednesday 08 May 2019",607447,5431207,148.282692995801,-41.2634187170103
"81413","Fannys Bay Distillery","15 Seascape Drive, LULWORTH, 7252","Special","Other","2018/04/05","Wednesday 08 May 2019",507847,5461505,147.093300502068,-40.9976015261454
"81414","Boomer Creek Vineyard","10922 Tasman Highway, LITTLE SWANPORT, 7190","Special","Other","2016/12/06","Wednesday 08 May 2019",579523,5316205,147.964794319847,-42.302328960556
"81416","Au Bar Tasmania","Suite 3, Ground Floor, City Mill Building, 11-13 Morrison Street, HOBART, 7000","On",NA,"2016/12/13","Wednesday 08 May 2019",527076,5252015,147.33156355568,-42.883985247541
"81430","Wet Edge One","North West Bay, MARGATE, 7054","Special","Conveyance","2016/11/09","Wednesday 08 May 2019",522464,5234788,147.275779255322,-43.0392648169163
"81488","Tasmanian Small Batch Distillers","219 Warwick Street, HOBART, 7000","Special","Online / Internet","2017/02/10","Wednesday 08 May 2019",525409,5252228,147.311140701209,-42.8821244495201
"81570","Veg Bar","346-352 Elizabeth Street, NORTH HOBART, 7000","On-Restaurant",NA,"2017/01/18","Wednesday 08 May 2019",525840,5253090,147.316378685627,-42.8743475499228
"81604","Nando's (North Hobart)","345 Elizabeth Street, NORTH HOBART, 7000","Special","Restaurant","2016/12/09","Wednesday 08 May 2019",525791,5253210,147.315773241062,-42.8732685878197
"81618","Drinks.Co","Shop 11a, The Galleria, 33 Salamanca Place, HOBART, 7000","General","Tavern","2016/12/05","Wednesday 08 May 2019",527064,5251700,147.331431795039,-42.886822286011
"81641","Mr Burger Tasmania","120A Liverpool Street, HOBART, 7000","On-Restaurant",NA,"2016/12/10","Wednesday 08 May 2019",526629,5252189,147.326081579776,-42.8824340762808
"81664","Back Paddock Vineyard","1589 Colebrook Road, CAMPANIA, 7026","Special","Wine Producer - Grape","2016/12/21","Wednesday 08 May 2019",533567,5283363,147.409187682561,-42.6014303904368
"81673","Abel Distillers","Ritchies Mill Office, 2 Bridge Road, LAUNCESTON, 7250","Special","Other","2016/12/01","Wednesday 08 May 2019",510742,5412355,147.128586068151,-41.4403054878576
"81685","Fico Hobart","151 Macquarie Street, HOBART, 7000","Special","Restaurant","2016/12/18","Wednesday 08 May 2019",526724,5251927,147.327257340256,-42.8847901005143
"81720","Harbour Lights Cafe","29 Morrison Street, HOBART, 7001","On-Restaurant",NA,"2016/12/05","Wednesday 08 May 2019",527046,5251944,147.331199611966,-42.8846256745499
"81729","tasmanian dot wine","659 Oceana Drive, TRANMERE, 7018","Special","Other","2017/02/17","Wednesday 08 May 2019",534315,5249422,147.420366391116,-42.9070442131515
